schid,schname,keyword,keynum,monthorweek,index
0,young harris college,young harris college,1,2013-03-31 - 2013-04-06,34
0,young harris college,young harris college,1,2013-04-07 - 2013-04-13,36
0,young harris college,young harris college,1,2013-04-14 - 2013-04-20,45
0,young harris college,young harris college,1,2013-04-21 - 2013-04-27,45
0,young harris college,young harris college,1,2013-04-28 - 2013-05-04,100
0,young harris college,young harris college,1,2013-05-05 - 2013-05-11,42
0,young harris college,young harris college,1,2013-05-12 - 2013-05-18,38
0,young harris college,young harris college,1,2013-05-19 - 2013-05-25,38
0,young harris college,young harris college,1,2013-05-26 - 2013-06-01,33
0,young harris college,young harris college,1,2013-06-02 - 2013-06-08,40
0,young harris college,young harris college,1,2013-06-09 - 2013-06-15,43
0,young harris college,young harris college,1,2013-06-16 - 2013-06-22,39
0,young harris college,young harris college,1,2013-06-23 - 2013-06-29,29
0,young harris college,young harris college,1,2013-06-30 - 2013-07-06,29
0,young harris college,young harris college,1,2013-07-07 - 2013-07-13,37
0,young harris college,young harris college,1,2013-07-14 - 2013-07-20,41
0,young harris college,young harris college,1,2013-07-21 - 2013-07-27,41
0,young harris college,young harris college,1,2013-07-28 - 2013-08-03,35
0,young harris college,young harris college,1,2013-08-04 - 2013-08-10,48
0,young harris college,young harris college,1,2013-08-11 - 2013-08-17,40
0,young harris college,young harris college,1,2013-08-18 - 2013-08-24,61
0,young harris college,young harris college,1,2013-08-25 - 2013-08-31,31
0,young harris college,young harris college,1,2013-09-01 - 2013-09-07,37
0,young harris college,young harris college,1,2013-09-08 - 2013-09-14,38
0,young harris college,young harris college,1,2013-09-15 - 2013-09-21,40
0,young harris college,young harris college,1,2013-09-22 - 2013-09-28,33
0,young harris college,young harris college,1,2013-09-29 - 2013-10-05,34
0,young harris college,young harris college,1,2013-10-06 - 2013-10-12,49
0,young harris college,young harris college,1,2013-10-13 - 2013-10-19,41
0,young harris college,young harris college,1,2013-10-20 - 2013-10-26,44
0,young harris college,young harris college,1,2013-10-27 - 2013-11-02,41
0,young harris college,young harris college,1,2013-11-03 - 2013-11-09,42
0,young harris college,young harris college,1,2013-11-10 - 2013-11-16,47
0,young harris college,young harris college,1,2013-11-17 - 2013-11-23,43
0,young harris college,young harris college,1,2013-11-24 - 2013-11-30,29
0,young harris college,young harris college,1,2013-12-01 - 2013-12-07,45
0,young harris college,young harris college,1,2013-12-08 - 2013-12-14,24
0,young harris college,young harris college,1,2013-12-15 - 2013-12-21,26
0,young harris college,young harris college,1,2013-12-22 - 2013-12-28,19
0,young harris college,young harris college,1,2013-12-29 - 2014-01-04,28
0,young harris college,young harris college,1,2014-01-05 - 2014-01-11,36
0,young harris college,young harris college,1,2014-01-12 - 2014-01-18,44
0,young harris college,young harris college,1,2014-01-19 - 2014-01-25,38
0,young harris college,young harris college,1,2014-01-26 - 2014-02-01,46
0,young harris college,young harris college,1,2014-02-02 - 2014-02-08,43
0,young harris college,young harris college,1,2014-02-09 - 2014-02-15,36
0,young harris college,young harris college,1,2014-02-16 - 2014-02-22,40
0,young harris college,young harris college,1,2014-02-23 - 2014-03-01,45
0,young harris college,young harris college,1,2014-03-02 - 2014-03-08,39
0,young harris college,young harris college,1,2014-03-09 - 2014-03-15,34
0,young harris college,young harris college,1,2014-03-16 - 2014-03-22,40
0,young harris college,young harris college,1,2014-03-23 - 2014-03-29,42
